VARIABLE="X","Y","DISPLACEMENT"
ZONE I=121, J=121, F=POINT
185.0 	-290.0   4.9875
190.0 	-290.0   4.8
195.0 	-290.0   4.6075
200.0 	-290.0   4.41
205.0 	-290.0   4.2075
210.0 	-290.0   4
215.0 	-290.0   3.7875
220.0 	-290.0   3.57
225.0 	-290.0   3.3475
230.0 	-290.0   3.12
235.0 	-290.0   2.8875
240.0 	-290.0   2.65
245.0 	-290.0   2.4075
250.0 	-290.0   2.16
255.0 	-290.0   1.9075
260.0 	-290.0   1.65
265.0 	-290.0   1.3875
270.0 	-290.0   1.12
275.0 	-290.0   0.8475
280.0 	-290.0   0.57
285.0 	-290.0   0.2875
290.0 	-290.0   0
295.0 	-290.0   -0.2925
300.0 	-290.0   -0.59
-300.0 	-285.0   -0.8775
-295.0 	-285.0   -0.58
-290.0 	-285.0   -0.2875
-285.0 	-285.0   0
-280.0 	-285.0   0.2825
-275.0 	-285.0   0.56
-270.0 	-285.0   0.8325
-265.0 	-285.0   1.1
-260.0 	-285.0   1.3625
-255.0 	-285.0   1.62
-250.0 	-285.0   1.8725
-245.0 	-285.0   2.12
-240.0 	-285.0   2.3625
-235.0 	-285.0   2.6
-230.0 	-285.0   2.8325
-225.0 	-285.0   3.06
-220.0 	-285.0   3.2825
-215.0 	-285.0   3.5
-210.0 	-285.0   3.7125
-205.0 	-285.0   3.92
-200.0 	-285.0   4.1225
-195.0 	-285.0   4.32
-190.0 	-285.0   4.5125
-185.0 	-285.0   4.7
-180.0 	-285.0   4.8825
-175.0 	-285.0   5.06
-170.0 	-285.0   5.2325
-165.0 	-285.0   5.4
-160.0 	-285.0   5.5625
-155.0 	-285.0   5.72
-150.0 	-285.0   5.8725
-145.0 	-285.0   6.02
-140.0 	-285.0   6.1625
-135.0 	-285.0   6.3
-130.0 	-285.0   6.4325
-125.0 	-285.0   6.56
-120.0 	-285.0   6.6825
-115.0 	-285.0   6.8
-110.0 	-285.0   6.9125
-105.0 	-285.0   7.02
-100.0 	-285.0   7.1225
-95.0 	-285.0   7.22
-90.0 	-285.0   7.3125
-85.0 	-285.0   7.4
-80.0 	-285.0   7.4825
-75.0 	-285.0   7.56
-70.0 	-285.0   7.6325
-65.0 	-285.0   7.7
-60.0 	-285.0   7.7625
-55.0 	-285.0   7.82
-50.0 	-285.0   7.8725
-45.0 	-285.0   7.92
-40.0 	-285.0   7.9625
-35.0 	-285.0   8
-30.0 	-285.0   8.0325
-25.0 	-285.0   8.06
-20.0 	-285.0   8.0825
-15.0 	-285.0   8.1
-10.0 	-285.0   8.1125
-5.0 	-285.0   8.12
0.0 	-285.0   8.1225
5.0 	-285.0   8.12
10.0 	-285.0   8.1125
15.0 	-285.0   8.1
20.0 	-285.0   8.0825
25.0 	-285.0   8.06
30.0 	-285.0   8.0325
35.0 	-285.0   8
40.0 	-285.0   7.9625
45.0 	-285.0   7.92
50.0 	-285.0   7.8725
55.0 	-285.0   7.82
60.0 	-285.0   7.7625
65.0 	-285.0   7.7
70.0 	-285.0   7.6325
75.0 	-285.0   7.56
80.0 	-285.0   7.4825
85.0 	-285.0   7.4
90.0 	-285.0   7.3125
95.0 	-285.0   7.22
100.0 	-285.0   7.1225
105.0 	-285.0   7.02
110.0 	-285.0   6.9125
115.0 	-285.0   6.8
120.0 	-285.0   6.6825
125.0 	-285.0   6.56
130.0 	-285.0   6.4325
135.0 	-285.0   6.3
140.0 	-285.0   6.1625
145.0 	-285.0   6.02
150.0 	-285.0   5.8725
155.0 	-285.0   5.72
160.0 	-285.0   5.5625
165.0 	-285.0   5.4
170.0 	-285.0   5.2325
175.0 	-285.0   5.06
180.0 	-285.0   4.8825
185.0 	-285.0   4.7
190.0 	-285.0   4.5125
195.0 	-285.0   4.32
200.0 	-285.0   4.1225
205.0 	-285.0   3.92
210.0 	-285.0   3.7125
215.0 	-285.0   3.5
220.0 	-285.0   3.2825
225.0 	-285.0   3.06
230.0 	-285.0   2.8325
235.0 	-285.0   2.6
240.0 	-285.0   2.3625
245.0 	-285.0   2.12
250.0 	-285.0   1.8725
255.0 	-285.0   1.62
260.0 	-285.0   1.3625
265.0 	-285.0   1.1
270.0 	-285.0   0.8325
275.0 	-285.0   0.56
280.0 	-285.0   0.2825
285.0 	-285.0   0
290.0 	-285.0   -0.2875
295.0 	-285.0   -0.58
300.0 	-285.0   -0.8775
-300.0 	-280.0   -1.16
-295.0 	-280.0   -0.8625
-290.0 	-280.0   -0.57
-285.0 	-280.0   -0.2825
-280.0 	-280.0   0
-275.0 	-280.0   0.2775
-270.0 	-280.0   0.55
-265.0 	-280.0   0.8175
-260.0 	-280.0   1.08
-255.0 	-280.0   1.3375
-250.0 	-280.0   1.59
-245.0 	-280.0   1.8375
-240.0 	-280.0   2.08
-235.0 	-280.0   2.3175
-230.0 	-280.0   2.55
-225.0 	-280.0   2.7775
-220.0 	-280.0   3
-215.0 	-280.0   3.2175
-210.0 	-280.0   3.43
-205.0 	-280.0   3.6375
-200.0 	-280.0   3.84
-195.0 	-280.0   4.0375
-190.0 	-280.0   4.23
-185.0 	-280.0   4.4175
-180.0 	-280.0   4.6
-175.0 	-280.0   4.7775
-170.0 	-280.0   4.95
-165.0 	-280.0   5.1175
-160.0 	-280.0   5.28
-155.0 	-280.0   5.4375
-150.0 	-280.0   5.59
-145.0 	-280.0   5.7375
-140.0 	-280.0   5.88
-135.0 	-280.0   6.0175
-130.0 	-280.0   6.15
-125.0 	-280.0   6.2775
-120.0 	-280.0   6.4
-115.0 	-280.0   6.5175
-110.0 	-280.0   6.63
-105.0 	-280.0   6.7375
-100.0 	-280.0   6.84
-95.0 	-280.0   6.9375
-90.0 	-280.0   7.03
-85.0 	-280.0   7.1175
-80.0 	-280.0   7.2
-75.0 	-280.0   7.2775
-70.0 	-280.0   7.35
-65.0 	-280.0   7.4175
-60.0 	-280.0   7.48
-55.0 	-280.0   7.5375
-50.0 	-280.0   7.59
-45.0 	-280.0   7.6375
-40.0 	-280.0   7.68
-35.0 	-280.0   7.7175
-30.0 	-280.0   7.75
-25.0 	-280.0   7.7775
-20.0 	-280.0   7.8
-15.0 	-280.0   7.8175
-10.0 	-280.0   7.83
-5.0 	-280.0   7.8375
0.0 	-280.0   7.84
5.0 	-280.0   7.8375
10.0 	-280.0   7.83
15.0 	-280.0   7.8175
20.0 	-280.0   7.8
25.0 	-280.0   7.7775
30.0 	-280.0   7.75
35.0 	-280.0   7.7175
40.0 	-280.0   7.68
45.0 	-280.0   7.6375
50.0 	-280.0   7.59
55.0 	-280.0   7.5375
60.0 	-280.0   7.48
65.0 	-280.0   7.4175
70.0 	-280.0   7.35
75.0 	-280.0   7.2775
80.0 	-280.0   7.2
85.0 	-280.0   7.1175
90.0 	-280.0   7.03
95.0 	-280.0   6.9375
100.0 	-280.0   6.84
105.0 	-280.0   6.7375
110.0 	-280.0   6.63
115.0 	-280.0   6.5175
120.0 	-280.0   6.4
125.0 	-280.0   6.2775
130.0 	-280.0   6.15
135.0 	-280.0   6.0175
140.0 	-280.0   5.88
145.0 	-280.0   5.7375
150.0 	-280.0   5.59
155.0 	-280.0   5.4375
160.0 	-280.0   5.28
165.0 	-280.0   5.1175
170.0 	-280.0   4.95
175.0 	-280.0   4.7775
180.0 	-280.0   4.6
185.0 	-280.0   4.4175
190.0 	-280.0   4.23
195.0 	-280.0   4.0375
200.0 	-280.0   3.84
205.0 	-280.0   3.6375
210.0 	-280.0   3.43
215.0 	-280.0   3.2175
220.0 	-280.0   3
225.0 	-280.0   2.7775
230.0 	-280.0   2.55
235.0 	-280.0   2.3175
240.0 	-280.0   2.08
245.0 	-280.0   1.8375
250.0 	-280.0   1.59
255.0 	-280.0   1.3375
260.0 	-280.0   1.08
265.0 	-280.0   0.8175
270.0 	-280.0   0.55
275.0 	-280.0   0.2775
280.0 	-280.0   0
285.0 	-280.0   -0.2825
290.0 	-280.0   -0.57
295.0 	-280.0   -0.8625
300.0 	-280.0   -1.16
